8/9/2022 "ADU Task Force Update" "foreign policy"
Dedicates a parcel of land as public right of way as South Broadway, located at the intersection of East Vassar Avenue and South Broadway, and dedicates a parcel of land as public right of way as public alley, bounded by East Vassar Avenue, South Broadway, East Harvard Avenue, and S" infrastructure
8/2/2021 "A resolution laying out, opening and establishing as part of the City street system a parcel of land as a public alley bounded by West Harvard Avenue, South Acoma Street, West Wesley Avenue and South Broadway; and, a parcel of land as South Broadway located near the intersection of West Harvard Avenue and South Broadway.
Dedicates a parcel of land as public right of way as public alley, bounded by West Harvard Avenue, South Acoma Street, West Wesley Avenue, and South Broadway, and dedicates a parcel of land as public right of way as South Broadway, located at the intersection of West Harvard" infrastructure
8/2/2021 "A bill for an ordinance establishing a new fund in the Culture and Recreation Special Revenue Fund Series for the “Shuttered Venue Operator Grant” program and approving and providing for the execution of a proposed Grant Agreement between the City and County of Denver and the United States Small Business Administration for the “Shuttered Venue Operator Grant” program and the funding therefor.
Establishes the Shuttered Venue Operator Grant Fund, Fund No. 15002, in the Culture and Recreation Special Revenue Fund Series, approves the a grant agreement with the U.S. Small Business Administration" economy
7/29/2021 "A bill for an ordinance changing the zoning classification for 4545 West 35th Avenue in West Highland.
Approves a map amendment to rezone property from U-SU-B to U-SU-B1 (allows for an accessory dwelling unit), located at 4545 West 35th Avenue in Council District 1. The Committee approved filing this item at its meeting on 8-10-21." infrastructure
7/28/2021 "A resolution approving the Mayor’s reappointments and appointments to the Denver Nonprofit Engagement Commission, formerly known as the Denver Office for Strategic Partnerships Commission.
Approves the following Mayoral reappointments and Mayoral appointments to the Denver Nonprofit Engagement Commission , formerly known as the Denver Office for Strategic Partnerships Commission: reappointments of Alison Adsit, Erika Righter, Gerardo Lopez, Lydia McCoy and Tracey Stewart for terms effective immediately and expiring 4-20-22, or until a successor is duly appointed; reappointments of Benjamin We" infrastructure
7/19/2021 "A resolution approving a proposed Contract between the City and County of Denver and Northeast Transportation Connections (NETC) to pilot a neighborhood transit in Montbello in Council Districts 8 and 11.
Approves a contract with Northeast Transportation Connections (NETC) for $555,208.75 and through 3-31-23 to pilot a neighborhood transit service in Montbello in Council Districts 8 and 11 (202159514). The last regularly scheduled Council meeting within the 30-day review period is on 10-4-21. The Committee approved filing this item at its meeting on 8-24-21." infrastructure
7/19/2021 "A resolution granting a revocable permit to AvalonBay Communities, Inc. to encroach into the right-of-way at 650 North Sherman Street.
Grants a revocable permit, subject to certain terms and conditions, to AvalonBay Communities, Inc. their successors and assigns, to encroach into the right of way with a 3-foot high metal picket fence, eight patios, and thirteen surface-mounted concrete planters at 650 North Sherman Street in Council District 10. The Committee approved filing this item at its meeting on 7-27-21." infrastructure
8/4/2021 "Denver Police Department Crime Hot Spot Policing" law
8/2/2021 "A resolution approving a proposed Revival and Second Amendatory Agreement between the City and County of Denver and Bayaud Enterprises, Inc. to provide additional shelter staffing, client transportation and meal delivery support for the auxiliary shelters during the COVID-19 pandemic.
Amends a contract with Bayaud Enterprises, Inc. by adding $1,252,256 for a new total of $4,703,421 and six months for a new end date of 12-17-21 to provide additional shelter staffing, client transportation and meal delivery support for the auxiliary shelters during the COVID-19 pandemic (HOST-202159601-02). The" welfare
